ns1:loc,ns1:lastmod,ns1:changefreq,ns1:priority
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo,,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo,,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14,2019-02-15,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14,2019-02-15,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/17-chateau-lagrange-%28minister-of-wines%29-646224,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/n-a-646224-2,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/18-malbec-terra-vega-%28luis-felipe-edwards%29-645861,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/n-a-645861-2,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/17-rosso-primitivo-igp-salento-%28leuci-lucio-sas-di-645853,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/n-a-645853-2,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/mfp-sse-sku-920900-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/mfp-sse-sku-920900-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/french-tom-merlot-***-850065,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/n-a-850065-2,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/99-chateau-going-st-fiacr-conte-st-hubert-muscadet-799924-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/99-chateau-going-st-fiacr-conte-st-hubert-muscadet-799924-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/00-pouilly-fuisse-la-frairie-799833-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/00-pouilly-fuisse-la-frairie-799833-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/chateau-pape-clement-2000-nath-johnston-fils-780247,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/n-a-780247-2,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/99-rockford-moppa-springs-negociants-intl-769760-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/99-rockford-moppa-springs-negociants-intl-769760-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/anna-de-codorniu-brut-rose-648998-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/anna-de-codorniu-brut-rose-648998-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/reiki-riesling-vqa-ddp-639872-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/reiki-riesling-vqa-ddp-639872-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/15-cabernet-sauvignon-napa-%28raymond-vyd%29-629287-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/15-cabernet-sauvignon-napa-%28raymond-vyd%29-629287-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/exultet-royal-road-recipe-pinot-noir-vqa-ddp-583534-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/exultet-royal-road-recipe-pinot-noir-vqa-ddp-583534-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/gavioli-moscato-rose-kpm-%28cedev-bvba%29-577858,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/n-a-577858-2,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/l-lambrusco-white-%28cedev-bvba%29-577486-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/l-lambrusco-white-%28cedev-bvba%29-577486-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/%28v%29-pinot-noir-ara-pathway-%28giesen-group-ltd%29-571737,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/n-a-571737-2,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/heritage-estate-apple-wine-ddp-558833-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/heritage-estate-apple-wine-ddp-558833-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/blue-gypsy-blueberry-wine-ddp-558783-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/blue-gypsy-blueberry-wine-ddp-558783-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/pondview-estates-cabernet-franc-icewine-vqa-ddp-558452-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/pondview-estates-cabernet-franc-icewine-vqa-ddp-558452-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/pillitteri-late-harvest-vidal-ddp-488668-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/pillitteri-late-harvest-vidal-ddp-488668-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/vintners-weiss-riesling-chardonnay-musque-%28trail%29-ddp-483776-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/vintners-weiss-riesling-chardonnay-musque-%28trail%29-ddp-483776-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/%3Elakeview-cellars-merlot-pg-enns-farms-434167-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/%3Elakeview-cellars-merlot-pg-enns-farms-434167-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/%3Elakeview-cellars-shiraz-icewine-vqa-431619-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/%3Elakeview-cellars-shiraz-icewine-vqa-431619-1,2019-02-17,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001,2019-02-15,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-2-14/vin-rouge-2-14001,2019-02-15,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/quinta-do-valdoeiro-tinto-2012-39222-1,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-rouge-2-14001/quinta-do-valdoeiro-tinto-2012-39222-1,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/coriole-estate-grown-shiraz-2014-931600,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-rouge-2-14001/shiraz-vignoble-du-domaine-coriole-2014-931600-2,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/decibel-gimblett-gravels-malbec-2017-813626-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-rouge-2-14001/decibel-gimblett-gravels-malbec-2017-813626-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/decibel-martinborough-pinot-noir-2016-813618-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-rouge-2-14001/decibel-martinborough-pinot-noir-2016-813618-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/la-sarabande-misterioso-faugeres-2016-641505-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-rouge-2-14001/la-sarabande-misterioso-faugeres-2016-641505-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/domaine-jessiaume-auxey-duresse-1er-ecussaux-2015-641075-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-rouge-2-14001/domaine-jessiaume-auxey-duresse-1er-ecussaux-2015-641075-1,2019-02-22,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/ortas-tradition-rasteau-2015-998716,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-rouge-2-14001/rasteau-tradition-ortas-2015-998716-2,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/ch%C3%A2teau-des-jacques-moulin-%C3%A0-vent-967620,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-rouge-2-14001/ch%C3%A2teau-des-jacques-moulin-%C3%A0-vent-967620-2,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/glenelly-estate-reserve-red-blend-652289,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/fr/lcbo/vin-rouge-2-14001/glenelly-estate-reserve-red-blend-652289-2,2019-02-23,,
https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/prieto-pariente-la-provincia-644872,2019-02-23,,
